experiencia_anos,ha_trabajado_en_sector,nivel_educativo,disponibilidad_inmediata,vive_cerca,acepta_turnos,documentos_completos,referido_interno,posibilidad_contratacion
8,1,4,0,1,1,0,1,Alta
4,1,3,1,1,1,1,0,Media
2,0,4,1,1,1,0,1,Media
2,1,1,1,0,0,1,0,Baja
6,1,4,0,0,1,0,0,Media
1,1,1,0,0,0,0,0,Baja
16,0,2,0,1,0,0,0,Media
6,0,1,0,0,0,0,1,Baja
0,0,2,1,1,0,0,1,Media
12,1,4,0,1,0,0,0,Media
1,0,4,0,0,1,1,1,Media
3,0,4,0,0,0,1,0,Media
5,1,2,0,0,1,1,0,Media
9,0,4,1,0,0,0,0,Media
20,1,3,0,0,0,0,0,Media
1,0,4,1,0,0,1,0,Media
17,1,4,1,1,1,0,0,Alta
20,0,2,0,1,0,0,1,Media
8,0,1,0,1,0,1,0,Baja
13,1,2,0,0,0,0,1,Media
10,1,1,1,1,0,1,0,Media
12,1,4,0,0,1,1,1,Alta
13,1,4,0,0,1,1,1,Alta
6,1,1,0,1,1,0,1,Media
12,0,4,0,1,0,1,0,Media
9,1,2,0,1,0,1,0,Media
14,1,4,1,1,0,1,0,Alta
13,1,1,0,0,1,0,1,Media
0,1,3,1,0,0,1,1,Media
17,0,3,0,1,0,1,1,Alta
12,1,3,0,0,0,0,1,Media
16,0,1,1,1,1,0,0,Media
14,1,3,1,0,0,1,0,Media
11,1,3,0,1,0,1,1,Alta
3,0,2,0,1,1,1,0,Media
8,0,2,0,1,1,1,1,Media
4,1,2,1,1,0,1,0,Media
12,1,4,0,0,0,0,1,Media
5,0,2,1,1,0,0,1,Media
9,0,3,0,0,1,1,0,Media
5,0,3,1,1,0,0,1,Media
6,0,3,1,0,0,1,0,Media
18,0,4,1,0,0,0,0,Media
7,0,3,1,1,1,1,0,Media
6,1,3,1,1,1,1,0,Alta
11,0,4,0,1,1,0,1,Alta
19,1,2,1,0,0,0,1,Alta
13,0,4,1,1,0,1,1,Alta
18,0,1,1,0,1,1,0,Media
7,0,4,0,0,0,0,0,Baja
10,0,4,0,1,1,1,0,Media
10,1,1,0,1,1,1,1,Alta
12,0,4,0,1,0,1,0,Media
1,0,2,0,0,0,0,1,Baja
0,1,2,0,1,1,1,1,Media
3,0,2,0,1,0,1,1,Media
3,1,2,1,1,1,0,1,Media
1,1,4,1,0,1,0,1,Media
16,1,2,1,1,1,0,0,Media
2,0,2,1,0,1,0,0,Baja
4,1,1,1,0,0,1,1,Media
4,0,4,0,1,1,0,1,Media
13,1,3,1,1,1,1,0,Alta
19,0,1,1,1,0,1,1,Alta
3,0,4,1,0,0,0,0,Baja
12,1,2,0,0,1,0,1,Media
12,0,1,0,0,0,0,1,Baja
11,1,2,1,1,0,1,0,Media
7,0,3,1,1,1,0,0,Media
15,1,2,0,1,0,0,1,Media
12,1,3,1,0,1,0,1,Alta
6,0,2,0,1,0,0,1,Media
1,0,2,1,1,0,0,1,Media
0,1,2,1,1,0,0,1,Media
5,0,4,0,1,0,1,1,Media
3,1,4,0,1,1,1,1,Alta
4,1,3,1,1,1,1,0,Media
20,0,1,1,1,1,0,1,Alta
16,1,2,0,1,0,1,0,Media
10,0,1,1,0,0,1,0,Baja
8,1,2,1,0,0,1,0,Media
20,1,1,0,1,1,0,1,Alta
6,1,1,1,1,0,0,0,Baja
20,1,3,1,1,0,0,1,Alta
19,0,3,1,1,0,0,1,Alta
6,0,1,0,0,1,1,0,Baja
2,1,4,0,0,1,1,1,Alta
7,1,4,1,1,1,0,1,Alta
